<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;15;09/01/20;2300;134.1400000;134.5300000;133.5600000;134.2700000;607078
US1.AAPL;15;09/02/20;1645;137.5400000;137.9400000;132.8400000;134.8400000;1376353
US1.AAPL;15;09/02/20;1700;134.8600000;135.0400000;127.0000000;128.3600000;953938
US1.AAPL;15;09/02/20;1715;128.3600000;131.9300000;128.2700000;131.2200000;404170
US1.AAPL;15;09/02/20;1730;131.2100000;132.3800000;130.7800000;132.2000000;317254
US1.AAPL;15;09/02/20;1745;132.2600000;132.5900000;130.7800000;131.1100000;278014
US1.AAPL;15;09/02/20;1800;131.1200000;131.6100000;130.6700000;130.8700000;186228
US1.AAPL;15;09/02/20;1815;130.8700000;131.2450000;129.8600000;130.5300000;304824
US1.AAPL;15;09/02/20;1830;130.5200000;130.5400000;129.1400000;129.6300000;222573
US1.AAPL;15;09/02/20;1845;129.6100000;130.1000000;127.1300000;128.7500000;359196
US1.AAPL;15;09/02/20;1900;128.7900000;129.8500000;128.5200000;129.7000000;183631
US1.AAPL;15;09/02/20;1915;129.7000000;130.5700000;129.4300000;130.4100000;165573
US1.AAPL;15;09/02/20;1930;130.4200000;131.2500000;130.4100000;130.9500000;183276
US1.AAPL;15;09/02/20;1945;130.9700000;131.1800000;130.1500000;130.3700000;133707
US1.AAPL;15;09/02/20;2000;130.3600000;130.6500000;129.9000000;130.4300000;112783
US1.AAPL;15;09/02/20;2015;130.4200000;130.7900000;129.7100000;130.7300000;123156
US1.AAPL;15;09/02/20;2030;130.7000000;131.4000000;130.4000000;131.2800000;153924
US1.AAPL;15;09/02/20;2045;131.2900000;131.6500000;130.8100000;131.2500000;125318
US1.AAPL;15;09/02/20;2100;131.2300000;131.4300000;130.7500000;131.0000000;104646
US1.AAPL;15;09/02/20;2115;131.0100000;131.1700000;130.5200000;130.9000000;112403
US1.AAPL;15;09/02/20;2130;130.9100000;131.1700000;130.8100000;131.0300000;115107
US1.AAPL;15;09/02/20;2145;131.0300000;131.3700000;130.9000000;131.0100000;86841
US1.AAPL;15;09/02/20;2200;131.0300000;131.2500000;130.3200000;130.3700000;105755
US1.AAPL;15;09/02/20;2215;130.3800000;130.9500000;130.3800000;130.9500000;113648
US1.AAPL;15;09/02/20;2230;130.9400000;131.1000000;130.6600000;130.6600000;127867
US1.AAPL;15;09/02/20;2245;130.7200000;131.5000000;130.5800000;131.4800000;200003
US1.AAPL;15;09/02/20;2300;131.4500000;131.8000000;131.1200000;131.4900000;475939
US1.AAPL;15;09/03/20;1645;127.0000000;128.8300000;126.2900000;127.7400000;653957
US1.AAPL;15;09/03/20;1700;127.7300000;128.1300000;126.7000000;127.3450000;383115
US1.AAPL;15;09/03/20;1715;127.3200000;127.7700000;126.7700000;127.3000000;300460
US1.AAPL;15;09/03/20;1730;127.2700000;127.2800000;125.2500000;126.1400000;509315
US1.AAPL;15;09/03/20;1745;126.1200000;126.5700000;124.6100000;125.0700000;598874
US1.AAPL;15;09/03/20;1800;125.0700000;125.0900000;123.2200000;125.0200000;637757
US1.AAPL;15;09/03/20;1815;124.9800000;125.0600000;123.5500000;123.8800000;470609
US1.AAPL;15;09/03/20;1830;123.8900000;123.9600000;120.7300000;123.2800000;900890
US1.AAPL;15;09/03/20;1845;123.3000000;124.8400000;122.9300000;124.4100000;347806
US1.AAPL;15;09/03/20;1900;124.5100000;125.1600000;123.9300000;124.1000000;314121
US1.AAPL;15;09/03/20;1915;124.1300000;124.4000000;123.3600000;124.1700000;227383
US1.AAPL;15;09/03/20;1930;124.1400000;124.3450000;123.1500000;123.3600000;231081
US1.AAPL;15;09/03/20;1945;123.3000000;123.4600000;122.2400000;122.4300000;277461
US1.AAPL;15;09/03/20;2000;122.4100000;123.0500000;122.0800000;122.7000000;231462
US1.AAPL;15;09/03/20;2015;122.7200000;123.6200000;121.8200000;123.4500000;283279
US1.AAPL;15;09/03/20;2030;123.3600000;123.8100000;122.6300000;123.7800000;184387
US1.AAPL;15;09/03/20;2045;123.7700000;123.7700000;122.2000000;122.2700000;438744
US1.AAPL;15;09/03/20;2100;122.2800000;122.9800000;122.0800000;122.7600000;170029
US1.AAPL;15;09/03/20;2115;122.7600000;123.3900000;122.5500000;122.9100000;131233
US1.AAPL;15;09/03/20;2130;122.8900000;122.9200000;122.2500000;122.7800000;154981
US1.AAPL;15;09/03/20;2145;122.7200000;123.3800000;122.6900000;122.9100000;165177
US1.AAPL;15;09/03/20;2200;122.8500000;122.9900000;121.7700000;121.7700000;281678
US1.AAPL;15;09/03/20;2215;121.7900000;122.2800000;121.0600000;121.7300000;527914
US1.AAPL;15;09/03/20;2230;121.7200000;121.8400000;120.8200000;120.8500000;551567
US1.AAPL;15;09/03/20;2245;120.8600000;121.6700000;120.5100000;121.3900000;613464
US1.AAPL;15;09/03/20;2300;121.4100000;121.5900000;120.5000000;120.9300000;1511503
US1.AAPL;15;09/04/20;1645;120.1400000;123.6600000;118.4000000;119.7900000;987704
US1.AAPL;15;09/04/20;1700;119.8900000;120.1600000;113.7000000;116.4400000;1423075
US1.AAPL;15;09/04/20;1715;116.4100000;118.0700000;115.2200000;115.4400000;592231
US1.AAPL;15;09/04/20;1730;115.4000000;116.2150000;113.6300000;113.8500000;915048
US1.AAPL;15;09/04/20;1745;113.8300000;114.4600000;110.9200000;111.1600000;1314634
US1.AAPL;15;09/04/20;1800;111.1600000;115.4300000;111.0000000;115.2100000;735502
US1.AAPL;15;09/04/20;1815;115.1700000;115.6300000;113.6000000;115.5800000;410613
US1.AAPL;15;09/04/20;1830;115.5600000;115.7700000;113.3600000;114.2400000;393043
US1.AAPL;15;09/04/20;1845;114.2100000;116.5000000;114.0900000;115.1800000;392311
US1.AAPL;15;09/04/20;1900;115.1800000;118.5000000;115.1800000;118.4600000;411669
US1.AAPL;15;09/04/20;1915;118.5200000;119.2800000;117.4100000;118.3400000;447271
US1.AAPL;15;09/04/20;1930;118.3300000;120.4200000;117.5800000;120.1300000;387611
US1.AAPL;15;09/04/20;1945;120.1400000;120.6800000;119.0600000;119.2200000;359423
US1.AAPL;15;09/04/20;2000;119.2400000;119.6000000;117.6000000;118.8800000;333980
US1.AAPL;15;09/04/20;2015;118.9100000;118.9100000;117.3600000;117.9400000;281635
US1.AAPL;15;09/04/20;2030;117.9200000;117.9300000;116.3500000;117.4700000;324045
US1.AAPL;15;09/04/20;2045;117.4600000;117.9700000;116.6000000;117.7500000;198505
US1.AAPL;15;09/04/20;2100;117.7100000;118.6200000;117.3400000;118.6000000;181460
US1.AAPL;15;09/04/20;2115;118.5100000;118.8900000;118.1000000;118.3400000;134063
US1.AAPL;15;09/04/20;2130;118.3400000;119.6700000;118.3400000;119.5400000;226814
US1.AAPL;15;09/04/20;2145;119.4900000;120.7400000;118.8400000;120.1700000;428188
US1.AAPL;15;09/04/20;2200;120.1200000;121.6700000;120.1100000;121.5100000;621793
US1.AAPL;15;09/04/20;2215;121.5100000;121.9800000;120.6900000;120.9100000;681171
US1.AAPL;15;09/04/20;2230;120.9200000;122.7000000;120.8700000;122.4200000;717417
US1.AAPL;15;09/04/20;2245;122.4300000;122.5000000;121.0600000;121.1700000;565245
US1.AAPL;15;09/04/20;2300;121.1700000;122.0000000;120.4600000;120.9300000;836757
US1.AAPL;15;09/08/20;1645;114.2300000;116.7600000;113.2500000;115.3400000;791348
US1.AAPL;15;09/08/20;1700;115.3600000;117.2800000;114.8100000;117.2800000;524962
US1.AAPL;15;09/08/20;1715;117.3100000;118.3900000;116.2200000;118.3600000;512611
US1.AAPL;15;09/08/20;1730;118.3400000;118.9800000;117.1300000;118.0500000;515880
US1.AAPL;15;09/08/20;1745;118.0700000;118.4700000;116.2300000;117.0200000;460025
US1.AAPL;15;09/08/20;1800;117.0700000;117.2200000;116.1200000;116.6900000;282688
US1.AAPL;15;09/08/20;1815;116.7700000;117.1100000;115.6400000;116.6900000;388589
US1.AAPL;15;09/08/20;1830;116.6000000;118.0400000;116.5300000;117.2200000;363847
US1.AAPL;15;09/08/20;1845;117.2300000;117.5500000;115.6900000;116.0900000;360076
US1.AAPL;15;09/08/20;1900;116.1000000;116.4100000;115.5000000;116.2700000;337544
US1.AAPL;15;09/08/20;1915;116.2700000;116.6000000;115.8000000;115.8200000;244952
US1.AAPL;15;09/08/20;1930;115.8000000;116.6900000;115.7000000;116.0300000;237159
US1.AAPL;15;09/08/20;1945;116.0200000;116.7500000;115.9100000;116.6700000;223542
US1.AAPL;15;09/08/20;2000;116.6500000;117.2100000;116.4400000;116.9200000;249883
US1.AAPL;15;09/08/20;2015;116.9500000;117.0600000;115.8800000;116.5200000;216451
US1.AAPL;15;09/08/20;2030;116.5000000;116.7700000;116.0000000;116.1000000;159689
US1.AAPL;15;09/08/20;2045;116.0800000;116.5000000;115.9000000;116.1500000;137090
US1.AAPL;15;09/08/20;2100;116.1800000;116.3000000;115.6400000;115.7400000;188921
US1.AAPL;15;09/08/20;2115;115.7700000;116.0300000;115.4000000;115.5000000;197836
US1.AAPL;15;09/08/20;2130;115.5300000;115.6400000;115.0000000;115.0600000;306883
US1.AAPL;15;09/08/20;2145;115.0300000;115.2500000;114.1100000;114.1500000;498777
US1.AAPL;15;09/08/20;2200;114.1300000;114.7500000;113.4700000;114.4800000;511341
US1.AAPL;15;09/08/20;2215;114.4800000;114.4800000;113.5000000;113.8600000;284178
US1.AAPL;15;09/08/20;2230;113.8100000;114.4000000;113.5500000;114.2800000;362184
US1.AAPL;15;09/08/20;2245;114.2850000;114.4700000;113.6400000;113.6800000;447416
US1.AAPL;15;09/08/20;2300;113.6700000;113.7200000;112.6800000;112.8300000;1298231
US1.AAPL;15;09/09/20;1645;117.2200000;117.7500000;115.3100000;116.4000000;863194
